source,content,classification
Kinky Friedman,"Says Texas is 1st in business climate, 49th in education.",credible
Austinites for Geographic Representation,"""Austin is the largest city in the U.S. or Texas with no geographic representation"" on its city council.",credible
American Civil Liberties Union of Florida,"""13,000 Floridians are able to vote -- but their governor won't tell them.""",incredible
Barack Obama,"Says ""Paul Ryan supports banning all abortions, even in cases of rape or incest.""",credible
Steve Phelps,"""NASCAR fans are twice as likely as non fans to serve in the military and 37 percent of active servicemembers and veterans are NASCAR fans.""",credible
Mitt Romney,"Claims Joe Biden said ""coal is more dangerous than terrorists.""",incredible
Arne Duncan,"""After one year, Tennessee’s students made their biggest single-year jump in achievement ever recorded in the state.""",credible
Barack Obama,"Says Mitt Romney and Paul Ryan ""want to turn Medicare into a voucher system.""",credible
Eva Longoria Baston,"Says Paul Ryan ""wants to cut Pell Grant scholarships for nearly 10 million students.""",credible
Lou Greenwald,"Says ""about 100,000 kids in this country leave their home state and go to another state to be educated. Out of that 100,000 young people, 30,000 of them are from New Jersey, by far the largest amount.""",credible
Americans for Prosperity,"Says President Obama said of the national debt, ""If I don't have this done in three years, then there's going to be a one-term proposition.""",incredible
Mitt Romney,"Says Barack Obama ""robbed Medicare (of) $716 billion to pay for ... Obamacare.""",incredible
Stephanie Cutter,Says Paul Ryan's budget relies on the same $700 billion in savings from Medicare that Mitt Romney and other Republicans have been attacking Democrats about.,credible
Chris Christie,"Says ""a Republican hasn't won [an election] for a presidency in New Jersey since 1988.""",credible
David Cicilline,"""(Brendan) Doherty wants to raise the eligibility age for Social Security benefits for anyone born after 1960, with no regard for the challenges it would cause for people working in physically demanding occupations.""",incredible
Rick Scott,"Florida has ""more concealed weapons permits than any other state.""",credible
Barack Obama,"Says Mitt Romney ""wants to end tax credits for wind producers.""",credible
American Future Fund,"Says U.S. Rep. Martin Heinrich ""spent a trillion of our tax dollars on a stimulus for failed companies here and jobs overseas.""",incredible
Debbie Wasserman Schultz,"""Mitt Romney is the first major party candidate for president of the United States in modern times not to release at least 12 years of tax returns.""",incredible
Workers' Voice,Says Josh Mandel bet against Ohio families,incredible
Warren Kampf,"Voter turnout for some groups in the 2008 presidential general election in Georgia ""was far greater than it should have been demographically.""",credible
Rob Turner,Says Ronda Storms voted to fund the 'Taj Mahal' courthouse.,credible
Gloria Romero Roses,"Says Joe Garcia ""voted to raise our utility rates.""",credible
Paul Begala,"Says Mitt Romney said at a January 2012 debate that under Paul Ryan’s tax plan, ""I’d have paid no taxes in the last two years.""",incredible
Barack Obama,"""We do know that Romney personally approved over $70 million in fictional losses to the IRS as part of the notorious 'Son of Boss' tax scandal, one of the largest tax avoidance schemes in history.""",credible
Floridians for Ethics and Truth in Politics,Says state Senate candidate Aaron Bean voted to give health care subsidies to illegal immigrants.,incredible
Anna Little,"""We actually made history in 2010. We came the closest in 24 years to defeating Frank Pallone.""",incredible
Ron Stephens,Georgia spends fewer tourism advertising dollars than any other state in the South.,credible
Bob McDonnell,"The Obama administration is ""unwinding our nation’s welfare-to-work requirements.""",incredible
Josh Mandel,"Sherrod Brown ""sent billions of our tax dollars to foreign countries.""",incredible
Mark Clayton,"Says the federal government ""mandates transexuals (sic) and homosexuals grabbing children in their stranger-danger zones in the name of airport security.""",incredible
New Jersey Democratic State Committee,"""(The Tax Policy Center) found that Romney would raise taxes on the average middle class family by $2,000 to pay for $5 trillion in tax cuts for millionaires and billionaires.""",credible
Dolores Gresham,"""I didn’t try to push"" a bill to reduce lottery scholarship proceeds for students.",incredible
Mike Stenhouse,"Rhode Island has ""the most burdensome level of health-insurance mandates in the nation.""",credible
Gail Collins,"Says Texas GOP platform calls for end to teaching ""critical thinking"" in public schools.",credible
Multnomah County Library Foundation,"Says library district would come ""at no direct cost to the city budget.""",incredible
Tomorrow's Vision of Florida,"Says Ron Saunders ""made the choice to stand with Rick Scott"" on expanding school vouchers, restricting scholarships and giving tax breaks to the wealthy.",incredible
Eric Hovde,"Says Tommy Thompson favors Obama's health care mandate, was publicly thanked by Obama for health reform support and that Thompson ""says we can't repeal 'Obamacare.'""",incredible
Tommy Thompson,"""I have voted every year in Wisconsin.""",incredible
American Principles in Action,"Says Barack Obama ""has deported more people than any other president in this country's history.""",credible
Eric Hovde,"Says U.S. Senate rival Tommy Thompson is ""a big corporate lobbyist"" and has been ""lobbying during the middle of the campaign.""",credible
Tommy Thompson,"Says U.S. Senate rival Eric Hovde ""refused to pay his property taxes until he was taken to court.""",credible
Peter DeFazio,"Art Robinson says ""Social Security should be ended through attrition.""",credible
Rob Turner,"The property appraiser's budget ""is $1 million less today than when I took office 16 years ago.""",credible
Paul Broun,"A United Nations arms treaty would ""almost certainly force"" the U.S. to ""create an international gun registry, setting the stage for full-scale gun confiscation.""",incredible
Mike DeWine,"Says the Central Ohio Human Trafficking Task Force ""is the first task force of its kind in Central Ohio""",credible
Barack Obama,"Says Mitt Romney ""paid only 14 percent in taxes — probably less than you.""",credible
Floridians for Ethics and Truth in Politics,Aaron Bean voted to give illegal immigrants in-state tuition.,credible
Jay Carney,"""Gov. Romney himself, with 28 other Republican governors, supported policies that would have eliminated the time limits in the welfare reform law and allowed people to stay on welfare forever.""",incredible
Priorities USA Action,Says Mitt Romney and Bain Capital are to blame in a woman’s premature death when they closed the plant where her husband worked.,incredible
American Commitment,"Bill Nelson’s vote for the Affordable Care Act ""cuts $500 billion from Medicare to pay for new government programs.""",incredible
Salmon for All,"""This ban will only apply to Oregon commercial fishermen. Washington commercial fishermen would still be allowed to use gillnets on the Columbia River.""",credible
Heather Fiorentino,"As Florida secretary of state, Kurt Browning ""allowed 1,800 illegal voters to register in Florida.""",incredible
Upendra Chivukula,"""One of the key things about Leonard Lance is that in 2008, when you look at [the] Project Vote Smart website, he was not for guns. Now he has gone too far to the right, saying that you can carry concealed weapons in national parks.""",incredible
Protect Your Vote Ohio,"""Thousands of politicians from across Ohio – along with their relatives, employees and friends – are still eligible to serve"" on the proposed redistricting commission.",credible
Allen West,"In June 2012 ""we actually had more people go on Social Security Disability [85,000] ... than the 80,000 jobs that were created.""",credible
